"threshold","precision","recall","f1"
0.785,0.931868574884096,0.139989098837209,0.243411873107806
0.79,0.933600337268128,0.134114583333333,0.234537174327473
0.795,0.936839788732394,0.12890625,0.226629045996593
0.8,0.937601109313612,0.122850048449612,0.217236486305588
0.805,0.93884457336234,0.117611434108527,0.209036355318748
0.81,0.942087884175768,0.112312257751938,0.200698033061876
0.815,0.942425046431414,0.107558139534884,0.193080205473867
0.82,0.944225352112676,0.101501937984496,0.183299611746049
0.825,0.946476360392507,0.0963844476744186,0.174952592959024
0.83,0.949542730999685,0.0911761143410853,0.166376571349634
0.835,0.954331766286098,0.0860586240310078,0.157880117771235
0.84,0.956818999640158,0.0805171996124031,0.148535038963215
0.845,0.958798613785137,0.0753997093023256,0.139805171106931
0.85,0.961412151067323,0.0709181201550388,0.13209249858996
0.855,0.963956043956044,0.06640625,0.124252811694382
0.86,0.968421052631579,0.0612887596899225,0.115281654041123
0.865,0.966544694197595,0.0559895833333333,0.105847668660732
0.87,0.968054763262978,0.0513868701550388,0.0975932369094517
0.875,0.970625,0.0470264050387597,0.089706561922366
0.88,0.970047651463581,0.0431504360465116,0.0826254602383092
0.885,0.974144486692015,0.0387899709302326,0.0746090451090597
0.89,0.973661852166525,0.0347020348837209,0.0670155843396392
0.895,0.975891996142719,0.0306443798449612,0.0594228002701036
0.9,0.97787610619469,0.0267684108527132,0.052110351332233
0.905,0.980024968789014,0.0237705910852713,0.0464153732446415
0.91,0.98132183908046,0.0206819282945736,0.0405100830367734
0.915,0.98330550918197,0.0178355135658915,0.0350355411474288
0.92,0.984674329501916,0.0155644379844961,0.0306444881655041
0.925,0.98394495412844,0.0129905523255814,0.0256425582785415
0.93,0.983425414364641,0.0107800387596899,0.0213263044389864
0.935,0.989864864864865,0.00887233527131783,0.0175870348139256
0.94,0.991379310344828,0.00696463178294574,0.0138320904498436
0.945,0.988505747126437,0.00520833333333333,0.0103620700042171
0.95,0.992,0.00375484496124031,0.0074813719870886
